Job Role,Skills
Data Analyst,"Business Intelligence, Data Cleaning, ETL, Power BI, Statistics"
Data Analyst,"Business Intelligence, Data Cleaning, Power BI, Python, Statistics"
Data Analyst,"Business Intelligence, ETL, SQL, Statistics, Tableau"
Data Analyst,"Business Intelligence, Power BI, Python, SQL, Statistics"
Data Analyst,"Business Intelligence, Excel, Power BI, SQL, Tableau"
Data Analyst,"Data Cleaning, ETL, Python, Tableau, Visualization"
Data Analyst,"Business Intelligence, Power BI, Statistics, Tableau, Visualization"
Data Analyst,"Business Intelligence, Data Cleaning, Excel, Statistics, Tableau"
Data Analyst,"Business Intelligence, Data Cleaning, Python, SQL, Visualization"
Data Analyst,"ETL, Excel, Python, Statistics, Visualization"
Data Analyst,"Excel, Python, SQL, Statistics, Visualization"
Data Analyst,"Business Intelligence, Data Cleaning, Power BI, SQL, Tableau"
Data Analyst,"Business Intelligence, Data Cleaning, Excel, Power BI, SQL"
Data Analyst,"Business Intelligence, Power BI, Python, Statistics, Visualization"
Data Analyst,"ETL, Power BI, Python, SQL, Visualization"
Data Analyst,"ETL, Excel, Python, SQL, Tableau"
Data Analyst,"Business Intelligence, ETL, Python, Tableau, Visualization"
Data Analyst,"Business Intelligence, Power BI, Python, Statistics, Tableau"
Data Analyst,"Business Intelligence, Data Cleaning, ETL, Statistics, Visualization"
Data Analyst,"Business Intelligence, Data Cleaning, ETL, Excel, Visualization"
Data Analyst,"ETL, Power BI, Python, Statistics, Visualization"
Data Analyst,"Data Cleaning, Excel, Python, SQL, Tableau"
Data Analyst,"Business Intelligence, Data Cleaning, ETL, Python, Statistics"
Data Analyst,"Business Intelligence, SQL, Statistics, Tableau, Visualization"
Data Analyst,"Business Intelligence, Data Cleaning, ETL, Power BI, Tableau"
Data Analyst,"ETL, Excel, SQL, Statistics, Visualization"
Data Analyst,"Business Intelligence, Data Cleaning, SQL, Statistics, Tableau"
Data Analyst,"Business Intelligence, Excel, SQL, Statistics, Visualization"
Data Analyst,"Business Intelligence, ETL, Excel, Python, SQL"
Data Analyst,"Data Cleaning, Power BI, Python, Tableau, Visualization"
Data Analyst,"Data Cleaning, ETL, Excel, SQL, Tableau"
Data Analyst,"ETL, Power BI, SQL, Statistics, Tableau"
Data Analyst,"ETL, Excel, SQL, Statistics, Tableau"
Data Analyst,"Excel, Python, SQL, Statistics, Tableau"
Data Analyst,"Data Cleaning, ETL, Excel, Python, Tableau"
Data Analyst,"Business Intelligence, Data Cleaning, ETL, Excel, Python"
Data Analyst,"Business Intelligence, ETL, Excel, SQL, Visualization"
Data Analyst,"Business Intelligence, ETL, SQL, Statistics, Visualization"
Data Analyst,"Data Cleaning, ETL, Excel, Python, Visualization"
Data Analyst,"ETL, Power BI, Python, Tableau, Visualization"
Data Analyst,"Data Cleaning, Excel, Python, SQL, Visualization"
Data Analyst,"Business Intelligence, Data Cleaning, ETL, SQL, Tableau"
Data Analyst,"Business Intelligence, Data Cleaning, SQL, Tableau, Visualization"
Data Analyst,"Data Cleaning, ETL, Excel, Python, SQL"
Data Analyst,"Business Intelligence, Data Cleaning, Excel, Python, Statistics"
Data Analyst,"Business Intelligence, Data Cleaning, Excel, SQL, Visualization"
Data Analyst,"Data Cleaning, Excel, Statistics, Tableau, Visualization"
Data Analyst,"Business Intelligence, Excel, Power BI, Python, SQL"
Data Analyst,"Business Intelligence, ETL, Python, SQL, Statistics"
Data Analyst,"Data Cleaning, ETL, Excel, Python, Statistics"
Data Analyst,"Python, SQL, Statistics, Tableau, Visualization"
Data Analyst,"Business Intelligence, Data Cleaning, Excel, SQL, Tableau"
Data Analyst,"Business Intelligence, Excel, Power BI, Python, Visualization"
Data Analyst,"Business Intelligence, Data Cleaning, Excel, Statistics, Visualization"
Data Analyst,"Business Intelligence, ETL, Excel, SQL, Tableau"
Data Analyst,"Data Cleaning, ETL, Power BI, Python, Tableau"
Data Analyst,"Business Intelligence, Excel, SQL, Statistics, Tableau"
Data Analyst,"Business Intelligence, ETL, Power BI, Python, SQL"
Data Analyst,"Data Cleaning, Power BI, SQL, Statistics, Visualization"
Data Analyst,"Data Cleaning, SQL, Statistics, Tableau, Visualization"
Data Analyst,"ETL, Excel, Python, SQL, Statistics"
Data Analyst,"Data Cleaning, Excel, Python, SQL, Statistics"
Data Analyst,"Business Intelligence, Excel, Power BI, Statistics, Visualization"
Data Analyst,"Data Cleaning, Python, SQL, Statistics, Tableau"
Data Analyst,"Excel, Power BI, Python, SQL, Tableau"
Data Analyst,"Data Cleaning, Excel, Power BI, SQL, Tableau"
Data Analyst,"Business Intelligence, Excel, Power BI, SQL, Visualization"
Data Analyst,"Business Intelligence, Power BI, SQL, Statistics, Tableau"
Data Analyst,"ETL, Excel, Power BI, SQL, Visualization"
Data Analyst,"Data Cleaning, Excel, SQL, Statistics, Tableau"
Data Analyst,"ETL, Excel, Power BI, Python, Visualization"
Data Analyst,"Data Cleaning, Excel, Python, Statistics, Tableau"
Data Analyst,"Data Cleaning, ETL, Excel, Tableau, Visualization"
Data Analyst,"Business Intelligence, ETL, Power BI, SQL, Statistics"
Data Analyst,"Excel, Python, SQL, Tableau, Visualization"
Data Analyst,"ETL, Excel, Power BI, SQL, Statistics"
Data Analyst,"Excel, SQL, Statistics, Tableau, Visualization"
Data Analyst,"Excel, Power BI, SQL, Statistics, Tableau"
Data Analyst,"Business Intelligence, Data Cleaning, Excel, Power BI, Python"
Data Analyst,"Business Intelligence, ETL, Power BI, Tableau, Visualization"
Data Analyst,"Business Intelligence, Data Cleaning, Excel, Python, Visualization"
Data Analyst,"Business Intelligence, ETL, Python, Statistics, Tableau"
Data Analyst,"Business Intelligence, ETL, Power BI, SQL, Tableau"
Data Analyst,"ETL, SQL, Statistics, Tableau, Visualization"
Data Analyst,"ETL, Excel, Python, Statistics, Tableau"
Data Analyst,"Data Cleaning, ETL, Python, Statistics, Visualization"
Data Analyst,"Excel, Power BI, Statistics, Tableau, Visualization"
Data Analyst,"Business Intelligence, ETL, Excel, Power BI, SQL"
Data Analyst,"Business Intelligence, ETL, Excel, Power BI, Statistics"
Data Analyst,"ETL, Power BI, SQL, Statistics, Visualization"
Data Analyst,"ETL, Power BI, Python, SQL, Tableau"
Data Analyst,"Data Cleaning, ETL, Excel, Power BI, Visualization"
Data Analyst,"Data Cleaning, ETL, Excel, SQL, Visualization"
Data Analyst,"Business Intelligence, ETL, Power BI, Python, Statistics"
Data Analyst,"ETL, Power BI, Statistics, Tableau, Visualization"
Data Analyst,"Business Intelligence, Data Cleaning, Excel, Power BI, Statistics"
Data Analyst,"ETL, Excel, SQL, Tableau, Visualization"
Data Analyst,"Business Intelligence, Data Cleaning, Power BI, Python, Tableau"
Data Analyst,"Data Cleaning, Python, SQL, Tableau, Visualization"
Data Analyst,"Business Intelligence, Data Cleaning, Power BI, SQL, Statistics"
Software Engineer,"Algorithms, Git, OOP, REST APIs, Unit Testing"
Software Engineer,"CI/CD, Git, Java, Spring Boot, Unit Testing"
Software Engineer,"Java, Microservices, OOP, REST APIs, Spring Boot"
Software Engineer,"Algorithms, Data Structures, OOP, Spring Boot, Unit Testing"
Software Engineer,"Algorithms, Data Structures, Java, REST APIs, Unit Testing"
Software Engineer,"Algorithms, Git, Java, Microservices, Unit Testing"
Software Engineer,"Algorithms, CI/CD, Git, Java, Microservices"
Software Engineer,"Algorithms, Git, Microservices, Spring Boot, Unit Testing"
Software Engineer,"Algorithms, Git, OOP, REST APIs, Spring Boot"
Software Engineer,"Algorithms, CI/CD, Java, Microservices, Unit Testing"
Software Engineer,"CI/CD, Java, OOP, REST APIs, Spring Boot"
Software Engineer,"Data Structures, Git, REST APIs, Spring Boot, Unit Testing"
Software Engineer,"Algorithms, CI/CD, Data Structures, REST APIs, Spring Boot"
Software Engineer,"Data Structures, Git, OOP, REST APIs, Unit Testing"
Software Engineer,"Algorithms, Data Structures, Java, Microservices, REST APIs"
Software Engineer,"CI/CD, Data Structures, Git, Microservices, Unit Testing"
Software Engineer,"Data Structures, Git, Java, OOP, Unit Testing"
Software Engineer,"Algorithms, CI/CD, Java, REST APIs, Spring Boot"
Software Engineer,"Algorithms, CI/CD, Data Structures, Microservices, REST APIs"
Software Engineer,"CI/CD, Git, Java, Microservices, OOP"
Software Engineer,"Java, Microservices, OOP, REST APIs, Unit Testing"
Software Engineer,"Git, Java, Microservices, OOP, Spring Boot"
Software Engineer,"CI/CD, Data Structures, Git, OOP, REST APIs"
Software Engineer,"Algorithms, CI/CD, Data Structures, OOP, Spring Boot"
Software Engineer,"Data Structures, Git, Java, REST APIs, Spring Boot"
Software Engineer,"Algorithms, Git, Java, REST APIs, Unit Testing"
Software Engineer,"Git, Java, OOP, REST APIs, Unit Testing"
Software Engineer,"Algorithms, Data Structures, Microservices, REST APIs, Unit Testing"
Software Engineer,"Data Structures, Git, Microservices, OOP, REST APIs"
Software Engineer,"Algorithms, Data Structures, Java, Microservices, Spring Boot"
Software Engineer,"CI/CD, Git, Microservices, OOP, Spring Boot"
Software Engineer,"Algorithms, CI/CD, REST APIs, Spring Boot, Unit Testing"
Software Engineer,"Algorithms, OOP, REST APIs, Spring Boot, Unit Testing"
Software Engineer,"Algorithms, Data Structures, Git, REST APIs, Spring Boot"
Software Engineer,"CI/CD, Git, OOP, Spring Boot, Unit Testing"
Software Engineer,"Data Structures, Microservices, OOP, REST APIs, Spring Boot"
Software Engineer,"Algorithms, CI/CD, OOP, Spring Boot, Unit Testing"
Software Engineer,"CI/CD, Git, Java, OOP, Unit Testing"
Software Engineer,"Algorithms, Data Structures, Java, OOP, REST APIs"
Software Engineer,"CI/CD, Java, Microservices, Spring Boot, Unit Testing"
Software Engineer,"CI/CD, Data Structures, Git, Java, OOP"
Software Engineer,"Algorithms, Java, Microservices, OOP, Unit Testing"
Software Engineer,"Algorithms, Git, Microservices, OOP, Spring Boot"
Software Engineer,"Algorithms, CI/CD, Java, OOP, REST APIs"
Software Engineer,"CI/CD, Java, OOP, Spring Boot, Unit Testing"
